DISTRICT,WARD ,VILLAGE ,LATITUDE (Y),LONGITUDE (X),YEAR,HH_SERVED,FUNCTIONAL_STATE,PUMP_TYPE,OUTLETS,SOAK_AWAY_PIT,PROTECTED,DATE OF LAST VISIT,VPM_VISITS/YEAR,BH_COMMITTEE,SEASONALITY,AQUIFER_YIELD,BH_DEPTH ,PALATABILITY,TOTAL _DISSOLVED -SOLIDS
Nyanga,11,Mutukumira,-17.7765418,33.0034606,1990,25,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/06/11,1,Functional ,Perennial,35,98,TRUE,134
Chimanimani,8,Makotamo,-19.7838327,32.425779,2014,30,Partially Functional,Bush Pump Type B,1,FALSE,No,2022/06/10,1,Functional,Perennial,0.846885176,48,TRUE,468
Nyanga,9,Munembe,-17.7474746,32.8100138,1992,63,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/21,4,Functional,Perennial,24,81,TRUE,161
Chipinge,17,Nyaututu C 1,-20.380178,32.585254,1992,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/27,2,Functional,Seasonal,30,88,TRUE,235
Chipinge,13,Muqabaniso,-20.3113376,32.7234435,1986,45,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/30,5,Functional,Seasonal,30,56,TRUE,68
Chipinge,23,Nyadzonya,-20.7359228,32.4256938,1986,35,Non-Functional,Bush Pump Type B,1,FALSE,No,2022/08/09,2,Functional ,Perennial,0.184550094,28,FALSE,807
Chipinge,23,Mhlanga,-20.6572523,32.4204643,1990,10,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/29,3,Functional,Perennial,33,94,TRUE,528
Chipinge,23,Chitokonye,-20.5686727,32.452179,2001,52,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/04,4,Functional,Perennial,38,83,TRUE,422
Chipinge,23,Kungai,-20.6650272,32.4124091,2013,55,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/06/23,2,Functional,Perennial,34,81,TRUE,368
Chipinge,23,Magamba,-20.6408066,32.314,1972,15,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/23,5,Functional,Perennial,49,49,FALSE,877
Nyanga,23,9A,-18.2309042,32.6405315,1992,50,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/06/30,1,Non-Functional,Perennial,36,99,TRUE,266
Chipinge,22,Chisurudza,-20.6861672,32.35181,2015,25,Fully Functional,Submersible Pump,8,FALSE,Yes,2023/06/01,4,Functional,Perennial,32,55,TRUE,37
Chimanimani,8,Ngaazwane,-19.7852409,32.4158251,1953,11,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2022/02/19,2,Functional,Perennial,42,100,TRUE,508
Buhera,10,Maupa,-19.0833495,31.8098614,2020,22,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/13,3,Functional,Perennial,50,61,TRUE,323
Buhera,10,Maupa,-19.0860077,31.8125266,1970,12,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/10,1,Functional,Perennial,33,57,TRUE,131
Nyanga,23,6,-18.2083494,32.680269,1990,60,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/25,5,Functional,Perennial,15,63,TRUE,116
Nyanga,23,23,-18.3073474,32.4487879,2015,13,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/01,1,Non-existent,Seasonal,0.550862899,34,TRUE,69
Nyanga,23,3,-18.138,32.708143,2005,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/08,4,Functional,Perennial,0.269875283,47,TRUE,277
Nyanga,23,15A,-18.2733383,32.5165975,1990,0,Non-Functional,National Pump,1,FALSE,No,2023/01/21,3,Non-functional ,Seasonal,0.668290154,70,FALSE,841
Nyanga,23,10A,-18.2445501,32.6323226,2016,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/11,1,Non-Functional,Perennial,44,66,TRUE,134
Nyanga,23,21,-18.3363355,32.4417394,2005,14,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/06/12,1,Non-Functional,Perennial,21,87,TRUE,161
Nyanga,23,24,-18.294699,32.4397676,1982,19,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2022/01/13,1,Non-existent,Seasonal,0.667980393,27,TRUE,32
Nyanga,23,2,-18.1068963,32.7049216,2016,63,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/07,2,Non-Functional,Perennial,22,98,TRUE,400
Nyanga,23,19/20,-18.37041,32.4273764,2005,23,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/01,3,Functional,Perennial,31,30,TRUE,535
Nyanga,23,16,-18.3449078,32.5200364,1982,23,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/05/01,3,Non-Functional,Perennial,8,69,TRUE,538
Nyanga,23,7A,-18.2094762,32.6661748,2013,21,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/05/16,1,Non-Functional,Perennial,6,28,TRUE,70
Nyanga,23,15A,-18.2927887,32.5398842,1993,13,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/17,6,Functional,Perennial,9,40,TRUE,71
Nyanga,23,5,-18.161803,32.6618665,1986,36,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/11,4,Functional,Perennial,9,34,TRUE,508
Nyanga,23,8,-18.220449,32.6410478,1981,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/16,5,Functional,Perennial,5,65,FALSE,949
Nyanga,23,15A,-18.2903557,32.5327592,1987,13,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/24,1,Non-Functional,Seasonal,27,84,TRUE,156
Nyanga,23,14F,-18.2704096,32.5235809,1998,30,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/18,3,Non-existent,Seasonal,0.260015036,65,TRUE,291
Nyanga,23,Tayisekwa Village 1,-18.078171,32.6775717,1918,12,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/20,3,Functional,Perennial,25,102,TRUE,340
Nyanga,23,14B,-18.2688737,32.5718122,1986,57,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/31,5,Functional,Perennial,25,104,TRUE,539
Nyanga,23,4,-18.1508703,32.6796226,1988,52,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/03/12,2,Functional,Perennial,18,85,TRUE,187
Nyanga,23,14A,-18.2601348,32.5887069,1986,34,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/04/29,4,Functional,Seasonal,0.415684289,100,TRUE,599
Nyanga,23,14E,-18.2749204,32.5495078,2013,21,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/14,4,Functional,Perennial,34,94,TRUE,319
Nyanga,23,12A,-18.309747,32.5405929,1988,21,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/07/11,1,Non-Functional,Perennial,45,108,TRUE,136
Nyanga,23,14D,-18.2826973,32.5545196,1988,34,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/14,6,Functional,Perennial,0.388483031,55,TRUE,557
Buhera,3,Togara,-19.1991932,31.4157512,1988,18,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/01,3,Functional,Perennial,31,115,FALSE,951
Buhera,3,Murata,-19.2535725,31.3691372,1997,36,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/13,3,Functional,Perennial,35,62,TRUE,48
Buhera,3,Ngundu,-19.2412195,31.431531,1982,8,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/11/06,1,Non-existent,Perennial,32,70,TRUE,567
Nyanga,1,Chimusasa,-17.4033786,32.9921747,1983,50,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/19,3,Non-Functional,Perennial,0.312496679,26,TRUE,261
Nyanga,23,11,-18.3077651,32.513722,2001,33,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/13,3,Non-existent,Seasonal,0.220167058,53,TRUE,254
Nyanga,11,Dandadzi,-17.8456564,32.9618091,1990,10,Fully Functional,Bush Pump Type B,1,FALSE,No,2023/01/22,5,Functional,Perennial,41,73,TRUE,54
Nyanga,11,Mutandakamwe,-17.8212935,32.9589052,2014,40,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/23,4,Functional,Perennial,0.031130356,84,TRUE,221
Nyanga,23,14C,-18.2673206,32.5588026,1992,35,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/19,6,Functional,Seasonal,0.397411288,39,TRUE,568
Mutare,22,Muranda VILLAGE O,-19.4340508,32.6233707,1992,61,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/02/03,6,Functional,Perennial,31,36,FALSE,853
Chipinge,26,Munepasi,-20.817781,32.274137,1988,12,Fully Functional,Submersible Pump,6,FALSE,Yes,2023/02/20,4,Functional,Perennial,12,104,TRUE,145
Nyanga,2,Taibo,-17.433215,32.789944,1988,16,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/07,1,Non-functional ,Seasonal,0.309120526,24,FALSE,923
Makoni,3,Murindashaka,-17.8338763,32.5032208,1988,44,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2022/05/09,2,Functional,Perennial,18,64,TRUE,547
Makoni,3,Vherende,-17.8618317,32.4768662,1997,18,Non-Functional,National Pump,1,FALSE,No,2022/08/02,2,Non-functional ,Seasonal,0.439612907,93,TRUE,403
Makoni,3,Kunyai,-17.9912075,32.3521894,1982,12,Partially Functional,Bush Pump Type A,1,TRUE,Yes,2022/08/11,2,Functional,Perennial,0.513087049,82,TRUE,591
Makoni,3,Nyakadzumbu,-17.8334202,32.4635289,1983,16,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/02/06,4,Functional,Perennial,13,63,TRUE,141
Makoni,3,Chapepa,-17.9503127,32.3966173,2001,20,Non-Functional,Bush Pump Type A,1,FALSE,No,2023/02/11,3,Non-existent,Perennial,0.811684291,56,FALSE,700
Makoni,3,Tapfumaneyi,-17.8364015,32.4190376,1990,25,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2022/03/19,2,Functional,Perennial,14,73,TRUE,360
Makoni,3,Mugoti,-17.9107284,32.45035,2014,20,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/05,3,Non-existent,Perennial,10,57,TRUE,205
Makoni,3,Tsikada,-17.9778585,32.5001334,1992,10,Non-Functional,National Pump,1,FALSE,No,2022/02/27,1,Non-existent,Seasonal,0.126871399,107,TRUE,556
Makoni,3,Mbariro,-18.0000064,32.4736082,1992,20,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/06/04,2,Functional,Perennial,0.505621279,32,TRUE,474
Makoni,3,Ngurunda,-17.9269513,32.405935,1986,10,Non-Functional,Bush Pump Type A,1,FALSE,No,2023/03/18,3,Non-existent,Perennial,0.677289425,25,FALSE,779
Makoni,3,Chabarwa,-17.8315807,32.4542763,1986,20,Partially Functional,Bush Pump Type A,1,TRUE,Yes,2023/01/16,5,Functional,Perennial,47,23,TRUE,581
Makoni,3,Mugoti,-17.9181558,32.4525243,1990,25,Fully Functional,Bush Pump Type A,1,TRUE,Yes,2023/02/18,6,Functional,Perennial,38,49,TRUE,331
Makoni,3,Vherende,-17.8617347,32.478225,2001,12,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/01/30,4,Functional,Perennial,27,55,TRUE,168
Makoni,3,Chabarwa,-17.8375979,32.4520514,2013,28,Partially Functional,Bush Pump Type A,1,TRUE,Yes,2022/08/10,2,Functional,Perennial,33,115,TRUE,419
Makoni,3,Mugoti,-17.9163272,32.4480821,1972,22,Non-Functional,Bush Pump Type A,1,TRUE,Yes,2022/12/22,2,Non-functional ,Perennial,31,96,TRUE,534
Makoni,3,Mbariro,-17.9891532,32.4684939,1992,30,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/02/28,5,Functional,Perennial,8,105,TRUE,486
Makoni,3,Tsikada Village,-17.9675671,32.4970604,2015,11,Partially Functional,Bush Pump Type A,1,TRUE,No,2023/03/17,4,Functional,Perennial,0.258463417,45,TRUE,93
Makoni,3,Ngurunda,-17.9316581,32.4092602,1953,12,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/28,1,Non-functional ,Seasonal,0.190338071,105,FALSE,838
Makoni,3,Mukuta,-17.888965,32.4085024,2020,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/14,5,Functional,Perennial,37,48,TRUE,319
Makoni,3,Mbariro,-17.9981005,32.4600636,1970,9,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/10/15,1,Functional ,Perennial,9,29,TRUE,54
Makoni,3,Mukuta,-17.8886266,32.4297127,1990,15,Fully Functional,Bush Pump Type A,1,TRUE,Yes,2023/02/19,6,Functional,Seasonal,0.101188981,20,TRUE,106
Makoni,3,Maruma,-17.9941832,32.4172645,2015,42,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/03/11,3,Functional,Perennial,18,106,TRUE,203
Makoni,3,Muvirimi,-17.866163,32.4458399,2005,20,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/05/21,3,Non-existent,Seasonal,0.940231224,45,TRUE,531
Makoni,3,Chirovamhangu,-17.8624425,32.4073003,1990,23,Fully Functional,Bush Pump Type A,1,TRUE,Yes,2023/05/27,3,Non-Functional,Perennial,0.076077461,95,TRUE,548
Makoni,3,Huta 1,-17.9332971,32.4596748,2016,15,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/04/12,5,Functional,Perennial,35,24,TRUE,59
Makoni,3,Ngurunda,-17.9311731,32.4209923,2005,12,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/09/19,1,Non-functional ,Perennial,21,75,TRUE,437
